item_id,rater_uid,feedback,gmt_create,cleaned_text,tokens,filtered_tokens,sentiment_score,sentiment_label
i1,u2158,样式 不错 ， 皮质 柔软 ， 整体 满意 ， 就是 尺码 感觉 偏 小 ， 特别 是 前 后面 部分 ， 袖 长 合适 ； 里面 穿 一 件 衬衫 穿 应该 不 要紧 。 ,2014-09-01 19:36:01,样式 不错  皮质 柔软  整体 满意  就是 尺码 感觉 偏 小  特别 是 前 后面 部分  袖 长 合适  里面 穿 一 件 衬衫 穿 应该 不 要紧  ,"['样式', ' ', '不错', ' ', ' ', '皮质', ' ', '柔软', ' ', ' ', '整体', ' ', '满意', ' ', ' ', '就是', ' ', '尺码', ' ', '感觉', ' ', '偏', ' ', '小', ' ', ' ', '特别', ' ', '是', ' ', '前', ' ', '后面', ' ', '部分', ' ', ' ', '袖', ' ', '长', ' ', '合适', ' ', ' ', '里面', ' ', '穿', ' ', '一', ' ', '件', ' ', '衬衫', ' ', '穿', ' ', '应该', ' ', '不', ' ', '要紧', ' ', ' ']","['样式', ' ', '不错', ' ', ' ', '皮质', ' ', '柔软', ' ', ' ', '整体', ' ', '满意', ' ', ' ', ' ', '尺码', ' ', '感觉', ' ', '偏', ' ', ' ', ' ', '特别', ' ', ' ', '前', ' ', '后面', ' ', '部分', ' ', ' ', '袖', ' ', '长', ' ', '合适', ' ', ' ', '里面', ' ', '穿', ' ', ' ', '件', ' ', '衬衫', ' ', '穿', ' ', '应该', ' ', ' ', '要紧', ' ', ' ']",2,Positive
i1,u1628,还 不错   摸 起来 挺 舒服 ,2014-09-08 22:18:05,还 不错   摸 起来 挺 舒服 ,"['还', ' ', '不错', ' ', ' ', ' ', '摸', ' ', '起来', ' ', '挺', ' ', '舒服', ' ']","[' ', '不错', ' ', ' ', ' ', '摸', ' ', '起来', ' ', '挺', ' ', '舒服', ' ']",1,Positive
i1,u1947,性价比 相当 不错 ， 穿 起来 挺 有型 。 ,2014-09-09 21:00:10,性价比 相当 不错  穿 起来 挺 有型  ,"['性价比', ' ', '相当', ' ', '不错', ' ', ' ', '穿', ' ', '起来', ' ', '挺', ' ', '有型', ' ', ' ']","['性价比', ' ', '相当', ' ', '不错', ' ', ' ', '穿', ' ', '起来', ' ', '挺', ' ', '有型', ' ', ' ']",1,Positive
i1,u1197,衣服 材质 很 好 ， 物流 也 很快 ， 赞 一个 ！ ,2014-09-01 21:48:46,衣服 材质 很 好  物流 也 很快  赞 一个  ,"['衣服', ' ', '材质', ' ', '很', ' ', '好', ' ', ' ', '物流', ' ', '也', ' ', '很快', ' ', ' ', '赞', ' ', '一个', ' ', ' ']","['衣服', ' ', '材质', ' ', ' ', ' ', ' ', '物流', ' ', ' ', '很快', ' ', ' ', '赞', ' ', '一个', ' ', ' ']",0,Neutral
i1,u2312,衣服 质量 不错 ， 这 个 价 很 超值 ,2014-09-02 07:25:37,衣服 质量 不错  这 个 价 很 超值 ,"['衣服', ' ', '质量', ' ', '不错', ' ', ' ', '这', ' ', '个', ' ', '价', ' ', '很', ' ', '超值', ' ']","['衣服', ' ', '质量', ' ', '不错', ' ', ' ', ' ', ' ', '价', ' ', ' ', '超值', ' ']",1,Positive
i1,u888,不知道 质量 ， 给 老丈人 买 的 。 ,2014-09-18 21:46:55,不知道 质量  给 老丈人 买 的  ,"['不', '知道', ' ', '质量', ' ', ' ', '给', ' ', '老丈人', ' ', '买', ' ', '的', ' ', ' ']","['知道', ' ', '质量', ' ', ' ', ' ', '老丈人', ' ', '买', ' ', ' ', ' ']",0,Neutral
i1,u1886,皮质 很 柔软 。 手感 不错 ， 老公 也 喜欢 。 而且 买家 服务 超好 的 。 谢谢 咯 ！ 祝 生意兴隆 ,2014-09-20 21:40:12,皮质 很 柔软  手感 不错  老公 也 喜欢  而且 买家 服务 超好 的  谢谢 咯  祝 生意兴隆 ,"['皮质', ' ', '很', ' ', '柔软', ' ', ' ', '手感', ' ', '不错', ' ', ' ', '老公', ' ', '也', ' ', '喜欢', ' ', ' ', '而且', ' ', '买家', ' ', '服务', ' ', '超好', ' ', '的', ' ', ' ', '谢谢', ' ', '咯', ' ', ' ', '祝', ' ', '生意兴隆', ' ']","['皮质', ' ', ' ', '柔软', ' ', ' ', '手感', ' ', '不错', ' ', ' ', '老公', ' ', ' ', '喜欢', ' ', ' ', ' ', '买家', ' ', '服务', ' ', '超好', ' ', ' ', ' ', '谢谢', ' ', '咯', ' ', ' ', '祝', ' ', '生意兴隆', ' ']",2,Positive
i1,u2046,卖家 发货 挺 快 ， 皮衣 做工 用料 都 很 好 的 ， 穿着 也 很 合身 ， 满意 ,2014-09-19 21:28:05,卖家 发货 挺 快  皮衣 做工 用料 都 很 好 的  穿着 也 很 合身  满意 ,"['卖家', ' ', '发货', ' ', '挺', ' ', '快', ' ', ' ', '皮衣', ' ', '做工', ' ', '用料', ' ', '都', ' ', '很', ' ', '好', ' ', '的', ' ', ' ', '穿着', ' ', '也', ' ', '很', ' ', '合身', ' ', ' ', '满意', ' ']","['卖家', ' ', '发货', ' ', '挺', ' ', '快', ' ', ' ', '皮衣', ' ', '做工', ' ', '用料', ' ', ' ', ' ', ' ', ' ', ' ', '穿着', ' ', ' ', ' ', '合身', ' ', ' ', '满意', ' ']",1,Positive
i10,u2322,修身 ， 穿 起来 很 舒服 ！ 物超所值 ！ ！ ！ ,2014-09-17 21:08:35,修身  穿 起来 很 舒服  物超所值    ,"['修身', ' ', ' ', '穿', ' ', '起来', ' ', '很', ' ', '舒服', ' ', ' ', '物超所值', ' ', ' ', ' ', ' ']","['修身', ' ', ' ', '穿', ' ', '起来', ' ', ' ', '舒服', ' ', ' ', '物超所值', ' ', ' ', ' ', ' ']",0,Neutral
i10,u1731,很 多 线头 ， 真心 不 值 这 个 价 ,2014-09-23 20:10:45,很 多 线头  真心 不 值 这 个 价 ,"['很', ' ', '多', ' ', '线头', ' ', ' ', '真心', ' ', '不', ' ', '值', ' ', '这', ' ', '个', ' ', '价', ' ']","[' ', ' ', '线头', ' ', ' ', '真心', ' ', ' ', '值', ' ', ' ', ' ', '价', ' ']",0,Neutral
